SL NO,Hospital Name,ZONE,State,City,Address,Contact Person,Contact Number,Pincode,Area
4880,Shree Jain Hospital & Research Centre,EAST,West Bengal,Howrah,493 B/12 G.T.Road Shibpore (SOUTH) Howrah 711102 Dist Howrah West Bengal,Dr. A Chaterjee - Medical Superintendent,STD(033) Tel: 26415831 6503067 6507502 Fax: 26381701,711102.0,Shibpore (South)
4881,Shree Jeewan Hospital,NORTH,Delhi,New Delhi,67/1 New Rohtak Road New Delhi 110005 Dist New Delhi Delhi,Mr Pradeep Keshari,STD(011) Tel: 23682780 23601400-60 Fax: 23601444 M: 9311182208,110005.0,New Rohtak Road
4882,Shree Krishna Health Centre,SOUTH,Andhra Pradesh,Visakhapatnam,"15-12-12, Krishna Nagar, Maharnipeta, Visakhapatnam - 530002; Dist: Visakhapatnam; State: Andhra Pradesh",Dr.V.Sitarama Raju - MD,Std (0891) Tel: 6662909 Fax: 6636264,530002.0,Maharnipeta
4883,Shree Krishna Hospital,NORTH,Uttar Pradesh,Ghaziabad,Near Atal Chowk Vasundhara Ghaziabad 201012 Dist Ghaziabad Uttar Pradesh,Dr. Pratibha Gupta - Director,STD(0120) Tel: 2881513 5548547 Fax: 2881513,201012.0,Vasundhara
4884,Shree Krishna Hospital,WEST,Maharashtra,Mumbai,"Plot No 161 Shree Krishna Nagar, Borivali, City: Mumbail, Dist: Mumbai, State: Maharashtra-400066",0,STD(0) Tel: 0 Fax: 0 Mob:9967351498,400066.0,Borivali
4885,Shree Krishna Hospital Agra Pvt Ltd,NORTH,Uttar Pradesh,Agra,"D-14 Phase - 2, Trans Yamuna Colony, Ram Bagh, Agra 282006 Dist Agra Uttar Pradesh",Dr. Arvind Yadav - Managing Director,STD (0562) 2280433 Fax:4057760,282006.0,Ram Bagh
4886,Shree Krishna Hospital And Medical Research Centre,WEST,Gujarat,Anand,"Gokul Nagar, Karamsad 388325 Dist Anand Gujarat",Sh. Pragnesh Gor,"STD(02692) Tel:223010,223666 Fax:223466",388325.0,Gokul Nagar
4887,Shree Krishna Multispecaility Hospital,NORTH,Uttaranchal,Kashipur,"Opp:Chamunda Mandir, Girital Kashipur 244713 Dist Udham Singh Nagar Uttara Khand",Dr Mayank Agarwal - MD,STD : 05947 Ph No : 277027,244713.0,Girital
4888,Shree Maa Nursing Home,EAST,West Bengal,Paschim Medinipore,"Vill. Debra Bazar, Paschim Medinipore Paschim Medinipore 721126 Dist Paschim Medinipore West Bengal",Mr. Manik Chand Maith - Managing Director,STD(03222) Tel: 243226 Fax: 243839,721126.0,Paschim Medinipore
4889,Shree Mahaganapati Hospital,WEST,Maharashtra,Thane,"Radhanagar, Near Saibaba Temple, Titwala[E], Thane, Dist:Thane, State:Maharashtra - 421605",Mr.Vikrant - COO,STD (0251) 2380068 2380098,421605.0,Titwala[E]
4890,Shree Meenakshi Multi Speciality Hospital (Previously Sree Meenakshi Poly Clinic),SOUTH,Tamil Nadu,Pudukkottai,4214 -2 South 4th Street Pudukkottai 622001 Dist Pudukkottai Tamil Nadu,Dr. C R A Jamanickam -,STD(04322) Tel: 220234 224076 236543 Fax: 22012,622001.0,South 4th Street
4891,Shree Multispeciality Hospital,WEST,Maharashtra,Pune,"Bhau Complex, Pune Nashik Highway, Dhawadewasti Bhosari 411039 Dist Pune Maharashtra",Ms. Vijaya Alhat,STD(020) Tel: 27238888,411039.0,Dhawadewasti
4892,Shree Multispeciality Hospital,WEST,Maharashtra,Thane,"1st floor, Shree Avenue Building, Opp. Muncipal Garden, Ramdev Park, Mira Road East, Bhayander, City: Thane, Dist: Thane, State: Maharashtra - 401107",...,STD (0) Tel: 0 Fax: 0 Mob: 8169152371,401105.0,Bhayander
4893,Shree Narayan Hospital,NORTH,Uttar Pradesh,Ghaziabad,"Plot No:889, Niti Khand-1, Indirapuram Ghaziabad 201014 Dist Ghaziabad Uttar Pradesh",Dr Vipul Tyagi - MD,STD : 0120 Ph No : 4158008 Fax : 4909408,201014.0,Indirapuram
4894,Shree Narayana Hospital,NORTH,Chhattisgarh,Raipur,"Near Ganj Mandi, Behind Sector-5, Devendra Nagar,Pandri, Raipur Raipurchhattisgarh 492001",Dr Sunil Khemka,"STD(0771) Tel: 3001234, 3001235,3001236 Fax: 3001284",492001.0,Pandri
4895,Shree Netra Eye Foundation,EAST,West Bengal,Kolkata,"73, Chakraberia Road-North Kolkata 700020 Dist Kolkata West Bengal",Dr Divyesh P Shah,STD(033) Tel: 24866487 32965465 Fax: 24866487,700020.0,Chakraberia Road-North
4896,Shree Pooja Hospital,SOUTH,Telangana,Hyderabad,"Street No:1, HMT Nagar, Andhra Bank Lane, OPP:S.R.Digi School, Nacharam, Hyderabad 500076 Dist Hyderabad Telangana",Dr. K. Ramesh - Managing Director,STD(040) 4012100,500076.0,Nacharam
4897,Shree Radhey Hospital & Trauma Center,NORTH,Haryana,Manesar,"Near Manish The Greens Restaurant, Main Bus Stand Manesar Manesar 122051 Dist Gurgaon Haryana",Dharmender Yadav,STD (0124) Tel: 3215987 Fax: 3215987,122051.0,Main Bus Stand
4898,Shree Ram Nursing Home Pvt Ltd,NORTH,Uttar Pradesh,Kanpur,"128/A-817, K Block, Kidwai Nagar Kanpur 208011 Dist Kanpur Uttar Pradesh",Dr. Ratan Agarwal - Director,STD(0512) Tel: 2607105 2602303 Fax:,208011.0,Kidwai Nagar
4899,Shree Ramakrishna Netralaya,WEST,Maharashtra,Thane,"Near Risk Care Hospital,Shree Balaji Appt, Near Makhmali Talao LBS Marg, Agra Road Thane - West Thane - 400601 Dist: Thane State: Maharashtra",Dr. Suhas P Deshparde -,STD(022) Tel: 25391599 65826498 Fax: 25640158 25640172,400601.0,
4900,Shree Ramkrishna Netralaya,WEST,Maharashtra,Thane,"Unit 1-4, Dosti Imperia Shopee, Opp R Mall, Manpada, Ghodbunder Road, Thane (W), Dist: Thane, State: Maharashtra - 400607",0,STD (022) Tel: 25896161,400607.0,Ghodbunder Road
4901,Shree Retina Care,NORTH,Chhattisgarh,Raipur,Hig 28 Main Road Shankar Nagar Raipur,Dr khushbu Partani,7898103842,492007.0,Shankar Nagar
4902,Shree Sadguru Krupa Accident & Fracture Hospital,WEST,Maharashtra,Thane,"Mitali hights 1st Floor, Near KDMC ""D"" Ward Office, Poona Link Road kalyan(E), Thane - 421301; Dist: Thane; State: Maharashtra",..,STD (0) Tel: 0 Fax: 0 Mob: 8828209875,421301.0,kalyan(E)
4903,Shree Sai Clinic,WEST,Maharashtra,Mumbai,"Padmavati Building,UnnatNagar, Road No:2, Near Patkar College, S.V.Road, Mumbai - 400062",..,Std(0) Tel: 0 Fax: 0 Mob: 9833893679,400062.0,UnnatNagar
4904,Shree Sai Eye Hospital,WEST,Maharashtra,Nagpur,"Ananad palace 7&8, Near Sakkardara State Bank, Umred Road, District: Nagpur, State: Maharastra-440009",0,"STD:(0712), Tel:2704488, Fax:2704499, Mob: 9673344488",440009.0,Umred Road
4905,"Shree Sai Hospital ICU, ICCU & Trauma Unit",WEST,Maharashtra,Mumbai,"Gokul Nagar No:1 Near Sai Dham Temple, Westran Express Highway Kandivili - East Mumbai 400101 Dist Mumbai Maharashtra",Dr. Goel Nilmani -,STD(022) Tel: 28547216 28540067 Fax: 28549065,400101.0,Kandivili - East
4906,Shree Sai Multispeciality Hospital,WEST,Maharashtra,Navi Mumbai,"B-101, A-103, 104, 1st Floor, Sinhgad Society, Sector-7, Kamothe, Navi Mumbai, Dist:Raigarh, State:Maharashtra - 410209",Dr.Shailesh - Director,STD (0) Tel: 0 Fax: 0 Mobile: 9321557717,410209.0,Kamothe
4907,Shree Sai Multispeciality Hospital & ICU,WEST,Maharashtra,Palghar,"Ground Floor & First Floor, C-Wing, Shanta Jyot Shopping Centre CHS Ltd, Manikpur, Vasai West, City: Palghar, Dist: Palghar, State: Maharashtra - 210208",...,STD (0) Tel: 0 Fax: 0 Mob: 9503493750,210208.0,Vasai West
4908,Shree Sai Rugnalaya,WEST,Maharashtra,Raigad,ChiNohpada Road Pen 402107 Dist Raigad Maharashtra,Dr. Sachin D Yiragi,STD (02143) 257292 Fax:257292,402107.0,Next To Civil Hospital
4909,SHREE SAIKRIPA MULTISPECIALITY HOSPITAL,WEST,Maharashtra,Nagpur,"Plot No 96, Shukla Nagar, Bhagwan Nagar Road, Omkar Nagar Square, Ring Road, District: Nagpur, State: Maharastra - 440027",Dr Aravind Talaha - MD,"STD: (721), Tel: (0), Fax: (0), Mob: 9370664848",440027.0,Ring Road
4910,Shree Samarth Hospital,WEST,Maharashtra,Pune,"Near Gram PaNohayat fice, Wagholi 412207 Dist Pune Maharashtra",Dr Atul Jadhav,STD (020) Tel: 27050057 Fax: 27050057,412207.0,Near Panchayat Ofc
4911,SHREE SATYAY HOSPITAL,WEST,Gujarat,Surat,"4020-22, 4TH FLOOR, PALLADIUM MALL YOGICHOWK GUJARAT SURAT 395010 West",Dr. Hardik Mangroliya - (CEO),"STD: (011) 12345678 , Tel: (0), Fax: (0), Mob: 9879161293",395010.0,Yogichowk
4912,Shree Siddhivinayak Criticare Hospital,WEST,Maharashtra,Pune,"Sourabh complex , 2nd Floor above canara bank, Shindawane road, Uruli Kanchan, Haveli - 412202; Dist: Pune; State: Maharashtra",..,Std (0) Tel: 0 Fax: 0 Mob: 9850895716,412202.0,Uruli Kanchan
4913,Shree Siddhivinayak Multispeciality Hospital,WEST,Maharashtra,Vasai,"Hall, 1St Floor, Madhuvan Heights, Opp. Evershine Gate, Vasai - 401208; Dist: Thane; State: Maharashtra",Mr. Pravin Kadam - MD,Std(0) Tel: 0 Fax: 0 Mob: 8408822227,401208.0,Madhuvan Heights
4914,Shree Siddhivinayak Urology & MultiSpeciality Hospital,WEST,Maharashtra,Dombivli,"No. 1, 101-102 Parth Regency, Shivaji Path, Opp: Nehru Maidan Main Dombivali E 421201 Dist Thane Maharashtra",Mr. Pravin Chaudhary - TPA Head,STD (0251) Tel: 2800100 Fax: 0,421201.0,Shivaji Path
4915,Shree Surgical and Maternity Home,WEST,Maharashtra,Jalgaon,"Anant Colony, M J College Road Jalgaon Jalgaon 425002 Dist Jalgaon Maharashtra",Dr. Sharad - Director,STD(0257) Tel: 2233468 2233494 Fax:,425002.0,M J College Road
4916,Shree Swami Samarth Heart Care & Trauma Centre,WEST,Maharashtra,Pune,"Sai Arcade, 3rd Floor Pune-Nashik Highway, Ektanagar, Chakan, Pune - 410501; Dist: Pune; State: Maharashtra",0,Std (0) Tel: 0 Fax: 0,410501.0,Chakan
4917,Shree Vighnaharta Superspeciality Hospital,WEST,Maharashtra,Deopur,"21, Abhushan, Ranapratap Colony, Near Jaihind High School, Dist: Dhule, State: Maharashtra-424002",Dr.Vikas Rajput-MD,STD(02562) Tel:297100,424002.0,Deopur
4918,Shree Vinayak Hospital,NORTH,Madhya Pradesh,Bhopal,"Plot No:347, Mandakini Colony, Kolar Road, Bhopal, Dist: Bhopal, State: Madhya Pradesh - 462042",Khushboo Shrivastav - TPA Co ordinator,STD (0755) Tel: 4222943,462042.0,Kolar Road
4919,Shreedeep Hospital,WEST,Maharashtra,Ahmednagar,"Near Ahmednagar College, Near Farahat Cafe, Kothi Road, City: Ahmednagar, Dist: Ahmednagar, State: Maharastra - 414001",Dr.Sachin,STD (0241) Tel: 2411414 Fax: 0 Mob: 0,414001.0,Farahat Cafe
4920,"Shreeji Hospital, Vadodara",WEST,Gujarat,Vadodara,"B-115, Opp:Narshidham Complex, Sangam Co Op Sociaty, Harni Road, Vadodara 390022 Dist Vadodara Gujarat",Dr Lalit Hotchand Griglani,STD (0265) Tel: 6549559 Fax: 2490638,390022.0,Harni Road
4921,Shreeji Eye Hospital And Phaco Centre,WEST,Gujarat,Ahmedabad,"A/308, Primate, Opp Mother Dairy, Judges Bunglow, Cross Road, Bodakdev, Ahmedabad, Dist: Ahmedabad, State: Gujarat - 380015",Dr.Puja Rajde - Consultant,STD (079) Tel: 40082354 Fax: 0 Mob: 9824220156,380015.0,Bodakdev
4922,Shreeji Heart Care Hospital,WEST,Gujarat,Ahmedabad,"1, Sarswati Shopping Centre, . Visat Petrol Pump, Sabarmati, Ahmedabad, Dist: Ahmedabad; State: Gujarat",TPA Cordinator,"STD(079), Tel: 27518451, 9558825033, FAx: 27518451",,Sabarmati
4923,Shreeji Hospital,WEST,Gujarat,Padra,"20, Ghanshyam Nagar Soci., B/H Bus Station Padra 391440 Dist Vadodara Gujarat",Dr Narendra Shah - Managing Director,STD (02662) 223260,391440.0,B/H Bus station
4924,Shreeji Hospital,WEST,Maharashtra,Nagpur,"616, Rajlaxmi Complex Deo Nagar Square, Khamla Road Nagpur 440015 Dist Nagpur Maharashtra",Dr. Jitendra Talavia,STD(0712) Tel: 2229188,440015.0,Khamla Road
4925,Shreeji Hospital,WEST,Gujarat,Rajkot,"Paras Society 3 Corner, Nirmala Convent Road, Rajkot 360007 Dist Rajkot Gujarat",Dr.Rakesh Choksi,STD (0281) 2575111 2573766 Fax:2575111,360007.0,Nirmala Convent Road
4926,SHREEJI HOSPITAL,WEST,Gujarat,Vadodara,Vallabh Complex Parivar Char Rasta Waghodia Road Vadodara,Bhavin shah,7575805015,390019.0,Waghodia Road
4927,Shreeji Hospital,WEST,Gujarat,Ahmedabad,"1st Floor, Sharawati Shopping Centre, Opp. ONGC Avani Bhavan, Visat Petrol Pump Sabarmati 380005 Dist Ahmedabad Gujarat",Dr.Bhavesh Patel - Managing Director,STD (079) 27518451 27508451,380005.0,Sabarmati
4928,Shreeji Hospital & Trauma Centre,WEST,Gujarat,Vadodara,"Opp: Ramakaka Mandir, Channi Vadodara Vadodara 391740 Dist Vadodara Gujarat",Dr. Rupesh Shah - Owner,STD(0265) Tel: 2776952 2760599 Fax: 2772201,391740.0,Channi
4929,Shreeji Orthopaedic & ENT Hospital,WEST,Gujarat,Ahmedabad,"F/5, Veermurti Comlex Opp Oxford Tower Gurukul Road Memnagar Ahmedabad 380052 Dist: Ahmedabad Gujarat",Dr. Tejal Shah - Owner,STD(079) Tel: 27479053 Fax: 30129700,380052.0,Gurukul Road Memnagar
4930,Shreemaa Hospital,EAST,Orissa,Cuttack,"Ring Road, Mangalabag Cuttack 753001 Dist Cuttack Orissa",Manju Behera - Propriter,STD (0671) 2306810 2305441,753001.0,Mangalabag
4931,Shreeya Hospital,SOUTH,Karnataka,Dharwad,"C\O Irkal Complex Opp: Dist Court, P B Road Dharwad 580008 Dist Dharwad Karnataka",Dr. Y N Irkal -,STD(0836) Tel: 2443515 Fax: 2436825,580008.0,P B Road
4932,Shreshtha Netra Chikitsalaya,EAST,Jharkhand,Ranchi,"Between gate no. 1 & 2, Ranchi 834002 Dist Ranchi Jharkhand",Mr Ajit Mishra - Director,STD (0651) Tel: 7141100 Fax: 0,834002.0,Ashok Nagar
4933,Shreshtha Netra Chikitsalaya,EAST,Jharkhand,Dhanbad,"Urmila Enclave, Ground Floor, Saraidhela, Dhanbad - 828127; Dist: Dhanbad; State: Jharkhand",Mr. Asia Mishra - MD,Std(0) Tel: 0 Fax: 0 Mob: 8981625509,828127.0,Saraidhela
4934,Shrey Hospitals Pvt Ltd,WEST,Gujarat,Ahmedabad,"Near Amco Bank Stadium Circle, Navrangpura, Ahmedabad - 380009; Dist: Ahmedabad; State: Gujarat",Dr. Kirtipal,Std (079) Tel: 26565921,380009.0,Ahmedabad
4935,Shreya Eye Centre,NORTH,Delhi,New Delhi,D-163 SURAJMAL VIHAR YAMUNA SPORTS COMPLEX DELHI 110092 North,Dr Rakesh Gupta,STD (011) Tel: 22143383 22161975 Fax: 22161973,110092.0,Surajmal Vihar
4936,Shreya hospital,SOUTH,Karnataka,Kolar,"2nd Main Road, Fort, Kolar 563101 Dist Kolar Karnataka",Dr. Krishna Shetty,STD (08152) Tel: 222555 Fax: 222555,563101.0,Fort
4937,Shreya Hospital,SOUTH,Karnataka,Bengaluru,"No 73, 3rd Main Road, Kengeri Satellite Town, Kengeri Bangalore 560060 Dist Bangalore Karnataka",Dr. M. Venkat Swamy - Managing Director,STD(080) Tel: 28482958 Fax: 28485042,560060.0,Kengeri
4938,Shreya Multi Specialty Hospital,NORTH,Uttar Pradesh,Ghaziabad,"837, Shalimar Garden, Extn-1, Sahibabad, Ghaziabad 201005 Dist Ghaziabad Uttar Pradesh",Dr KC Mishra,STD (0120) Tel: 2649444 2649555 Fax: 2649444,201005.0,Sahibabad
4939,Shreyas Hospital,WEST,Maharashtra,Thane,Dream House Sainagar Vasai (W) Mumbai 401202 Dist Mumbai Maharashtra,Dr. Sandeep Potdar -,STD(022) Tel: 2337053 2337053 Fax:,401202.0,Vasai - West
4940,Shreyas Maternity Home,SOUTH,Karnataka,Hoskote,"#356, 2nd Main Road, Swami vivekananda Nagar, Sulibele Road, City: Hoskote, Dist: Bangalore, State: Karnataka-562114",Dr. Sudha B-MD,"STD (080) Tel: 29562126, Fax: 0, Mob: 9341209666",562114.0,Swami vivekananda Nagar
4941,Shreyas Orthopaedic and Trauma Centre,SOUTH,Karnataka,Hubballi,"Kedar Plaza, Opp. Laxmi Mata (AJANTHA) Talkies, Coen Road, Coen Road, 580020 Dist Dharwad Karnataka",Dr Mohan Tukade,STD (0836) Tel: 2253189 Fax: 2263288,580020.0,Coen Road
4942,Shri Adithya Hospitals,SOUTH,Telangana,Hyderabad,"Plot No.4,5 & 11, Near Ecil Near Ecil Hyderabad 500083 Dist Hyderabad Telangana",TPA Coordinator,"STD : 040-65656464,27124441",500083.0,Near ECIL
4943,Shri Ambe Hospital & Research Institute,NORTH,Rajasthan,Jaipur,"8-9, Jai Karni Nagar, Near Saint Tresa School, Niwaru Road, Jhotwara, City: Jaipur, Dist: Jaipur, State: Rajasthan - 302012",...,STD (0141) Tel: 2469001 Fax: 0 Mob: 9983149001,302012.0,Karni Nagar
4944,"Shri Balaji Institute of Medical Science Pvt. Ltd.,",NORTH,Chhattisgarh,Raipur,"Ekta Chow Duby Colony, Near Moina Police Station Raipur 492010 Dist Raipur Chhattisgarh",Dr. Devendra Naik - Medical Director,STD(0772) Tel: 4241000 4241002 Fax: 4241099,492010.0,Near moina Police Station
4945,Shri Balaji Multispeciality Hospital,NORTH,Haryana,Gurugram,"Sector 9-10, Basai Chowk, Basai Road Gurgaon 122006 Dist Gurgaon Haryana",Mrs. Mamta,STD (0124) Tel: 6543703 Fax : 2305757,122006.0,Basai Road
4946,Shri Balchikitsalaya,WEST,Maharashtra,Mumbai,"14-A, Miniland Tank Rd Shivaji Talav Bhandup West - 400078",..,Std (022) Tel: 25951297 Fax: 25963755,400078.0,Bhandup (W)
4947,Shri Chandra Hospital,SOUTH,Telangana,Karimnagar,"#3-3-261, Savaran Street, Civil Hospital Road, Karimnagar 505001 Dist Karimnagar Telangana",TPA Coordinator,"STD : 0870-2235757,6503791 FAX : 2235758",505001.0,Civil Hospital Road
4948,Shri Daya Dutt Vashist Hospital,NORTH,Delhi,New Delhi,"J-34, Gangaram Vatika, Tilak Nagar, New Delhi 110018 Dist Delhi Delhi",Dr Sanjeev Vashist,STD (011) Tel: 65442846 Fax: 65442846,110018.0,Tilak Nagar
4949,Shri Ganesh Eye Hospital,EAST,Jharkhand,Ranchi,"Opp: Metro Gali, Near Rambilas Petrol Pump, Ratu Road, Ranchi - 834005; Dist: Ranchi; State: Jharkhand",Dr. Amit Kumar Jayswal - Properitor,Std(0) Tel: 0 Fax: 0 Mob: 8340595331,834005.0,Ratu Road
4950,Shri Ganga Charan Hospital,NORTH,Uttar Pradesh,Bareilly,"A-2, Rampur Garden, Bareilly 243001 Dist Bareilly Uttar Pradesh",Dr. N.K.Gupta,STD(0581) Tel: 2510083 2510140,243001.0,Rampur Garden
4951,Shri Gangaram Memorial Hospital,NORTH,Uttar Pradesh,Varanasi,"Dafi, Lanka, Lanka Varanasi 221005 Dist Varanasi Uttar Pradesh",Dr. Ashok Bhatt - Managing Director,STD(542) Tel: 2369662 2366788 Fax: 2369662,221005.0,Lanka
4952,Shri Ganpatlal Memorial Ayush Multispeciality Hospital,SOUTH,Karnataka,Vijayapura,"Plot No.135-137, K.K.Colony, Vivek Nagar,B.B.Agewadi Road, Bijapur 586109 Dist Bijapur Karnataka",Dr. Ashfaq,STD(08352) Tel: 276000 Fax: 278222,586109.0,BbAgewadi Road
4953,Shri Govindam Hospital And Multispeciality Centre,NORTH,Rajasthan,Sri Ganganagar,"142-P Block, Near Kali Mata Mandir, Payal Takki Road, Sri Ganganagar 335001 Dist Ganganagar Rajasthan",Dr. Varun Chhabra,STD(0154) Tel: 2474700 Fax: 2472025,335001.0,Payal Takki Road
4954,Shri Hari Hospital Pvt Ltd,NORTH,Rajasthan,Kota,"B-99-100, Riddhi Siddhi Nagar, Kunhadi, Kota 324008 Dist Kota Rajasthan",Dr Amit Vyas - MD,STD (0744) Tel: 2370888 Fax : 2370888 Mob : 9462580686,324008.0,Kunhadi
4955,Shri Komal Hospital & Dr Saxenas Nusing Home,NORTH,Haryana,Rewari,Circular Road Rewari Rewari 123401 Dist Rewari Haryana,Dr. Tara Saxena - Assistant Director,STD(01274) Tel: 255920 254780 Fax: 255510 01274-251700,123401.0,Rewari
4956,Shri Krishna Hrudayalaya & Critical Care Centre,WEST,Maharashtra,Nagpur,Congress Nagar Square Dhantoli Nagpur 440012 Dist Nagpur Maharashtra,Dr. H. Fulwani - Managing Director,STD(0712) Tel: 2444434 2442136 Fax: 2440120,440012.0,Dhantoli
4957,Shri Markendey Solapur Sahakari Rugnalaya & Research Centre Niyamit,WEST,Maharashtra,Solapur,Final Plot No.19 Pachcha Peth Solapur 413005 Dist Solapur Maharashtra,Dr MA Gurram - Chairman,"STD (0217) Tel: 2620820, 2620821",413005.0,Paccha Peth
4958,Shri Mata Vaishno Devi Narayana Superspeciality Hospital,NORTH,Jammu & Kashmir,Katra,"Kakryal, Katra 182320 Dist Reasi Jammu & Kashmir",Mr.Manu Ramachandar - Director,STD(01992) 279301,182320.0,Kakryal
4959,Shri Medishine Hospital,NORTH,Chhattisgarh,Raipur,"Near fruit market, Amlidih, Rajendra Nagar Raipur 492001 Dist Raipur Chhattisgarh",Dr.Susheel Sharma,STD (771) Tel: 4222999 Fax: 4222987,492001.0,Amlidih
4960,Shri Muthu Nursing Home,SOUTH,Tamil Nadu,Tiruchirappalli,"95, Big Sowrastra Street Woraiyur Main Road Trichy Trichy 620003 Dist Trichy Tamil Nadu",Mrs.Victoria,STD(0431) Tel: 2760082 Fax: 2764881 M:9360224061,620003.0,Woraiyur Main Road
4961,Shri Om Kashyap Lifeline Hospital Pvt Ltd,NORTH,Uttar Pradesh,Noida,"452, Barola, Sector-49, G B Nagar Noida 201301 Dist Ghaziabad Uttar Pradesh",Dr.Hari Om Gupta - Director,STD (0120) 4315141,201301.0,Sector-49
4962,Shri Preethe Hospital,SOUTH,Tamil Nadu,Erode,"15, Palaniappa Street 1st Road, Opp: Gh Erode Erode 638009 Dist Erode Tamil Nadu",Dr. R A Ganesah - Managing Director,STD(0424) Tel: 2252577 2252576 Fax:,638009.0,Opp: GH
4963,Shri Radhakrishna Hospital & Research Institute,WEST,Maharashtra,Nagpur,Central Avenue East Wardhamannagar Wardhamannagar(E) Nagpur 440008 Dist Nagpur Maharashtra,Mr. V A Rakhunde - Administrator,STD(0712) Tel: 2790572 2680582 Fax: 2682544,440008.0,Wardhamannagar(E)
4964,Shri Ram Clinic,NORTH,Haryana,Panchkula,"1187, Sector -11, PaNohkula PaNohkula 134112 Dist PaNohkula Haryana",Dr. Arun Dua - Managing Director,STD(0172) Tel: 2580061 2561187 Fax:,134112.0,Sector -11
4965,Shri Ram Health Center,WEST,Madhya Pradesh,Shehdol,"1297/2, Sohagpur Pali Road, City: Shahdol, Dist: Shahdol, State: Madhya Pradesh-484001",Mr. Vijay- MD,"STD (07652) Tel:248248, Fax:0, Mob: 9425182126",484001.0,"Sohagpur, Pali Road"
4966,SHRI RAM HOSPITAL,NORTH,Rajasthan,Pali,B-18 Veer Durga Das Nagar Opp Rotary Club Pali,Bhalla Ram,9799856423,342003.0,Main Sojat Road
4967,Shri Ram Hospital ( Unit Of Shri Ram Super Speciality Surgical Centre Pvt. Ltd.),NORTH,Rajasthan,Jodhpur,"8, Pal Road, Jodhpur 342003 Dist Jodhpur Rajasthan",Dr. Sunil Chandak,STD (0291) Tel: 2770600 2772111 Fax: 2772078,342003.0,Pal Road
4968,Shri Ram Singh Hospital & Heart Institute,NORTH,Delhi,New Delhi,B-26 East Krishna Nagar New Delhi 110051 Dist New Delhi Delhi,Mr. Param Jeet Singh - Hospital Manager,STD(011) Tel: 22002796 Fax: 22002796,110051.0,East Krishna Nagar
4969,Shri Ram Singh Multispeciality Hospital (A Unit Of Shree Ram Singh Healthcare),NORTH,Uttar Pradesh,Noida,"Sector -70, Noida, Dist: Gautam Buddh Nagar, District: GoutamBudha Nagar, State: Uttar Pradesh - 201301",Dr. Ritu Singh - MD,"STD: (0), Tel: 0, Fax: (0), Mob: 8971172563",201309.0,Noida
4970,Shri RamaKrishna Nursing Home,WEST,Maharashtra,Panvel,"Prajapati Cascade, 1st Floor, Sector-1, Road No.18, New Panvel - 410206; Dist: Raigarh; State: Maharashtra",..,Std (0) Tel: 0 Fax: 0 Mob: 9820961500,410206.0,Sector-1
4971,Shri Ramdeobaba Rukhminidevi Memorial Multi Speciality Hospital,WEST,Maharashtra,Nagpur,"61-62, Small Factory Area Old Bhandra Road Lakadganj Nagpur 440008 Dist Nagpur Maharashtra",Ashwin Goibhiye,STD(0712) Tel: 2732292; 2772960 Fax: 2761758,440008.0,Lakadganj
4972,Shri Sai Netralaya,WEST,Maharashtra,Nagpur,"Nanak Ashtavinayak,Opp. Balaji College,CMPDI Road, Nagpur-440014",TPA Coordinator,STD : 0712-2641221,440014.0,CMPDI Road
4973,Shri Sai Surgical and Maternity Hospital,WEST,Maharashtra,Sangli,"Near Church, Yallama Chowk, Kacheri Road, Islampur, Sangli - 415409; Dist: Sangli; State: Maharashtra",Dr. H.V. Nerlekar - Owner,STD(02342) Tel: 223048 Fax:0,415409.0,Islampur
4974,Shri Sakthi Vinayakkar Hospital,SOUTH,Tamil Nadu,Dindigul,"95, 95a Near Bus Stand Main Road Guziliamparai 624703 Dist Dindigul Tamil Nadu",Dr. Palaniappen - Consultant Physician,STD(04551) Tel: 234433 Fax:,624703.0,Main road
4975,Shri Shellapha Hospital,SOUTH,Tamil Nadu,Salem,"239, Near Gandhi Stadium Salem Salem 636007 Dist Salem Tamil Nadu",Mrs.Lavanya [Insurance coordinator],STD(0427) Tel: 2421266 2421277 Fax: 2412403 Mobile : 9894264333,636007.0,Near Gandhi Stadium
4976,Shri Sigma Hospitals,SOUTH,Telangana,Hyderabad,"Nh.No.3-63/4a, Main Road, Nh-7, Near Cine Planet, Kompally, Kompally, 500014 Dist Rangareddy Telangana",Mr. Ashwin,STD (040) Tel: 27165095 Fax: 27165096,500014.0,Kompally
4977,Shridevi Hospital,SOUTH,Karnataka,Tumukuru,1st Cross M.G.Road Tumkur 572101 Dist Tumkur Karnataka,Dr. M R Hulinayakar - Proprietor,STD (0816) Tel: 2274963 2255370 Fax: 2273344,572101.0,K.R. Extension
4978,Shrikhande Hospital & Research Centre,WEST,Maharashtra,Nagpur,"34/2, Abhyankar Marg, Ramkrishna Math, Dhantoli Nagpur 440012 Dist Nagpur Maharashtra",Dr Anil Shrikande - Owner,STD (0712) 2420124 Fax:2440184,440012.0,Dhantoli
4979,Shrimann Superspeciality Hospital,NORTH,Punjab,Jalandhar,"Jalandhar-Pathankot Byepass Road, Village-Noorpur, Dist: Jalandhar, State: Punjab - 144012",Lokesh Sharma - Manager,"STD (0181) Tel: 5017777, Fax: 0, Mob: 9356472166",144012.0,Village-Noorpur
